TotalRelatorio,Codigo,Descricao_Produto,Categoria,Quantidade,Preco,Atributos,Deposito,Marca,ValorTotal,NCM,Unidade
"R$ 35.167.575,97",M2688-1,ACEM,Açougue,"198,00","R$ 39,90",,Loja,.,"R$ 7.900,20",02013000,UN
"R$ 35.167.575,97",000001,ACEM,Açougue,"-3626,09","R$ 39,90",,Loja,.,"-R$ 144.680,99",02013000,KG
"R$ 35.167.575,97",M988-1,ACEM,Açougue,"0,00","R$ 36,90",,Loja,GOLD BEEF,"R$ 0,00",02013000,UN
"R$ 35.167.575,97",100003,ACEM,Açougue,"-12,26","R$ 39,90",,Loja,VALENCIO,"-R$ 489,17",02013000,KG
"R$ 35.167.575,97",M2104-1,ACEM - CARNE RESFRIADA DE BOVINO SEM OSSO,Açougue,"1133,00","R$ 42,75",,Loja,FRIGORAÇA,"R$ 48.435,75",02013000,UN
"R$ 35.167.575,97",M1815-1,ACEM BOVINO RESFRIADO,Açougue,"0,00","R$ 36,90",,Loja,FUTURA GERAÇAO ,"R$ 0,00",02013000,UN
"R$ 35.167.575,97",M694-1,ACEM BOVINO RESFRIADO,Açougue,"0,00","R$ 36,90",,Loja,FUTURA GERAÇAO ,"R$ 0,00",02013000,KG
"R$ 35.167.575,97",M1816-1,ACEM BOVINO RESFRIADO,Açougue,"368,00","R$ 36,90",,Loja,FUTURA GERAÇAO ,"R$ 13.579,20",02013000,UN
"R$ 35.167.575,97",000048,ACEM COM OSSO,Açougue,"-0,51","R$ 31,90",,Loja,.,"-R$ 16,27",02012090,KG
"R$ 35.167.575,97",M66-1,ACEM PERDIGÃO,Açougue,"11,00","R$ 860,69",,Loja,PERDIGAO,"R$ 9.467,54",02013000,KG
"R$ 35.167.575,97",000002,ALCATRA,Açougue,"-822,33","R$ 58,90",,Loja,.,"-R$ 48.435,24",02013000,KG
"R$ 35.167.575,97",M1274-1,ALCATRA,Açougue,"0,00","R$ 49,90",,Loja,FUTURA GERAÇAO ,"R$ 0,00",02013000,KG
"R$ 35.167.575,97",M2338-1,ALCATRA,Açougue,"104,00","R$ 60,45",,Loja,JA,"R$ 6.286,80",02013000,UN
"R$ 35.167.575,97",M2234-1,ALCATRA COM MAMINHA,Açougue,"138,00","R$ 49,90",,Loja,FRIGORAÇA,"R$ 6.886,20",02013000,UN
"R$ 35.167.575,97",M2218-1,ALCATRA COM MAMINHA,Açougue,"0,00","R$ 59,90",,Loja,FRIGORAÇA,"R$ 0,00",02013000,UN
"R$ 35.167.575,97",000003,ALMONDEGAS,Açougue,"0,00","R$ 39,90",,Loja,.,"R$ 0,00",16025000,KG
"R$ 35.167.575,97",M1473-1,ALMONDEGAS 500G,Açougue,"0,00","R$ 22,90",,Loja,COMPADRE,"R$ 0,00",16025000,UN
"R$ 35.167.575,97",M2555-1,APRESUNTADO AURORA,Açougue,"4,00","R$ 35,00",,Loja,AURORA,"R$ 140,00",16024900,UN
"R$ 35.167.575,97",000090,ASA,Açougue,"-1002,61","R$ 16,90",,Loja,.,"-R$ 16.944,11",02071413,KG
"R$ 35.167.575,97",M2524-1,ASA,Açougue,"2,00","R$ 16,90",,Loja,ADORO,"R$ 33,80",02071413,UN
"R$ 35.167.575,97",M2608-1,ASA,Açougue,"2,00","R$ 15,00",,Loja,ADORO,"R$ 30,00",02071300,UN
"R$ 35.167.575,97",M2683-1,ASA,Açougue,"5,00","R$ 15,00",,Loja,ADORO,"R$ 75,00",02071413,UN
"R$ 35.167.575,97",M1282-1,ASA,Açougue,"-5,00","R$ 15,99",,Loja,Holambra,"-R$ 79,95",02071300,UN
