TextBox1,aTSV_MerchandiseCustomCodeDataTextBox,aTSV_MerchandiseDescriptionDataTextBox,aTSV_BrandDescriptionDataTextBox,aTNU_SaleQuantityDataTextBox,TextBox3
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M562-1,YPIOCA OURO,.,13,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M769-1,YAKULT 80G,.,60,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M770-1,YAKULT 6 UNIDADES,.,44,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M51-1,XAROPE GROSELHA FERRASPARI 1L,Ferraspari,23,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1850-1,WHISKAS FRANGO 85G,whiskas,17,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1849-1,WHISKAS CARNE 85G,whiskas,16,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M561-1,VODKA BALALAIKA,.,18,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1439-1,VIVOLI POTE NAPOLITANO 400ML,VIVOLI,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1066-1,VIVOLI PICOLE COCO 60G,VIVOLI,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1065-1,VIVOLI PICOLE CHOCOLATE 60G,VIVOLI,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1542-1,VIVOLI ESPECIALITE TABLETS 65G,VIVOLI,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1541-1,VIVOLI ESPECIALITE DIVINO 65G,VIVOLI,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1540-1,VIVOLI BEIJINHO 65G,VIVOLI,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1543-1,VIVOLI ABSOLUTO LIMAO SUIÇO 65G,VIVOLI,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2419-1,VINHO TINTO CHALISE 750ML,COCA,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896403900015,VINHO SAN TOME SUAVE 1L,SAN TOME ,23,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898965741068,VINHO NONO TINTO SECO 750ML,NONO,9,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M643-1,VINHO DO NONO SUAVE BORDO 880ML,.,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2144-1,VINHO DO NONO SUAVE BORDO 1L,NONO,27,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1323-1,VINAGRE TOSCANO VINHO TINTO 750ML,TOSCANO,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2145-1,VINAGRE TOSCANO MAÇA 750 ML,TOSCANO,6,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1605-1,VINAGRE TOSCANO LIMÃO 750ML,TOSCANO,23,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M614-1,VINAGRE TOSCANO 750ML COLORIDO,.,30,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M144-1,VINAGRE FORTALEZA 750ML COLORIDO,FORTALEZA,11,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1691-1,VINAGRE ALCOOL 750ML,TOSCANO,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M566-1,VELHO BARREIRO,.,21,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M894-1,VELA VULCAO SORTIDA 1X1,NEW FEST,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M150-1,VELA SAO DOMINGOS 9G,SAO DOMINGOS,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M279-1,VELA SAO DOMINGOS 245G 7 DIAS,DOMINGOS,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896080901589,VELA PARANA N 5,PARANA,19,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896080901077,VELA PARANA 1 UNIDADE 255G,PARANA,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M892-1,VELA GLITER DOURADA NO 8,NEW FEST,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M887-1,VELA GLITER DOURADA NO 4,NEW FEST,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M886-1,VELA GLITER DOURADA NO 3,NEW FEST,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M885-1,VELA GLITER DOURADA NO 2,NEW FEST,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M876-1,VELA BIG BRANCA NO 5,NEW FEST,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M875-1,VELA BIG BRANCA NO 4,NEW FEST,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M874-1,VELA BIG BRANCA NO 3,NEW FEST,6,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M873-1,VELA BIG BRANCA NO 2,NEW FEST,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M872-1,VELA BIG BRANCA NO 1,NEW FEST,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M868-1,VELA ? BIG BRANCA,NEW FEST,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M272-1,VASSOURA NOVICA ORIGINAL COM CABO,NOVICA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898165300102,VASSOURA CLAMINA,CLAMINA,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898165300201,VASSOURA CLAMAX CANTO,CLAMINA,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2750-1,VASSOURA BASE MADEIRA SEM CABO,.,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M751-1,UVA-PASSA ESCURA SEM SEMENTES 100G,LA VIOLETERA,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1635-1,UVA VERDE SEM SEMENTE 500G,COAFRUITS,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1636-1,UVA SEM SEMENTE 500G,COOPEXVALE,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896272010167,UVA PASSA 80G,VALE FERTIL,10,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2455-1,UAU PERFUMES CHA BRANCO 1L,UAU,33,Todos
